구분,고급휘발유,보통휘발유,자동차용경유,실내등유
2022년11월26일,1920.41,1632.12,1867.75,1597.07
2022년11월27일,1919.54,1630.83,1866.63,1596.67
2022년11월28일,1920.12,1628.36,1864.46,1596.03
2022년11월29일,1918.55,1625.83,1861.70,1594.54
2022년11월30일,1918.09,1623.90,1859.63,1593.33
2022년12월01일,1918.46,1622.12,1857.47,1592.35
2022년12월02일,1916.65,1620.84,1855.96,1591.50
2022년12월03일,1915.90,1619.61,1854.52,1590.66
2022년12월04일,1915.58,1618.48,1853.31,1590.17
2022년12월05일,1914.24,1615.99,1850.98,1589.02
2022년12월06일,1911.24,1612.26,1847.19,1587.26
2022년12월07일,1908.44,1607.58,1842.17,1584.77
2022년12월08일,1904.31,1601.20,1835.07,1581.86
2022년12월09일,1896.99,1593.80,1827.11,1578.44
2022년12월10일,1891.17,1586.79,1818.45,1573.47
2022년12월11일,1889.31,1583.59,1814.71,1571.54
2022년12월12일,1883.22,1576.99,1807.38,1567.99
2022년12월13일,1872.56,1567.85,1796.67,1562.47
2022년12월14일,1864.98,1561.08,1787.99,1557.31
2022년12월15일,1858.79,1554.87,1779.25,1552.73
2022년12월16일,1854.41,1549.40,1771.37,1547.97
2022년12월17일,1848.14,1545.18,1764.37,1543.82
2022년12월18일,1846.57,1543.39,1761.56,1542.13
2022년12월19일,1845.68,1540.27,1756.43,1539.29
2022년12월20일,1841.24,1536.77,1751.89,1535.56
2022년12월21일,1837.49,1534.17,1745.51,1532.72
2022년12월22일,1834.38,1531.87,1741.37,1530.11
2022년12월23일,1832.20,1530.29,1738.09,1527.65
2022년12월24일,1830.78,1529.34,1735.31,1525.52
2022년12월25일,1830.19,1528.58,1733.82,1524.67
2022년12월26일,1829.38,1527.32,1731.44,1522.79
2022년12월27일,1828.79,1526.31,1728.14,1520.45
2022년12월28일,1827.85,1526.05,1725.84,1518.78
2022년12월29일,1827.17,1526.34,1724.28,1517.69
2022년12월30일,1826.98,1527.57,1722.77,1516.64
2022년12월31일,1827.74,1530.70,1721.76,1515.72
2023년01월01일,1834.63,1541.67,1720.97,1514.52
2023년01월02일,1847.27,1550.17,1720.21,1513.57
2023년01월03일,1850.73,1555.82,1719.06,1513.02
2023년01월04일,1852.78,1558.81,1717.13,1512.02
2023년01월05일,1861.23,1561.29,1713.57,1510.57
2023년01월06일,1861.42,1561.45,1710.43,1508.92
2023년01월07일,1860.85,1561.87,1704.48,1507.65
2023년01월08일,1865.79,1562.86,1702.48,1507.06
2023년01월09일,1866.31,1563.17,1698.52,1505.89
2023년01월10일,1864.07,1562.41,1692.23,1503.42
2023년01월11일,1861.55,1561.36,1685.25,1500.99
2023년01월12일,1857.36,1560.23,1679.22,1499.11
2023년01월13일,1854.23,1559.72,1674.32,1497.01
2023년01월14일,1851.23,1559.31,1670.38,1494.97
2023년01월15일,1850.77,1559.37,1668.62,1494.21
2023년01월16일,1851.40,1559.83,1666.13,1492.74
2023년01월17일,1850.62,1560.00,1662.31,1491.14
2023년01월18일,1849.25,1560.40,1659.03,1488.97
2023년01월19일,1848.82,1561.19,1656.83,1487.58
2023년01월20일,1848.19,1562.93,1654.96,1486.28
2023년01월21일,1846.78,1564.54,1653.45,1485.86
2023년01월22일,1847.24,1565.65,1653.11,1485.34
2023년01월23일,1847.80,1566.33,1652.69,1485.23
2023년01월24일,1847.55,1567.01,1652.10,1484.58
2023년01월25일,1849.77,1568.09,1651.76,1484.65
2023년01월26일,1849.80,1569.67,1651.15,1484.13
2023년01월27일,1850.99,1571.20,1650.52,1483.52
2023년01월28일,1850.46,1572.25,1649.66,1482.60
2023년01월29일,1850.32,1572.77,1649.10,1482.62
2023년01월30일,1851.65,1574.35,1649.16,1482.19
2023년01월31일,1853.08,1575.41,1648.44,1481.86
2023년02월01일,1854.30,1577.03,1646.96,1481.32
2023년02월02일,1855.83,1578.42,1645.14,1480.22
